id;name;location;link;image;lat;lon
1;Rzeźba Łuczniczki;Park im. Jana Kochanowskiego, Bydgoszcz;https://visitbydgoszcz.pl/pl/miejsca/87-rzezby-i-pomniki/661-rzezba-luczniczki;https://visitbydgoszcz.pl//images/com_adsmanager/ads//media/photos/15782/xl.jpg;53.131756;18.00575
2;Mistrz Twardowski;Stary Rynek 15, Bydgoszcz;https://visitbydgoszcz.pl/pl/miejsca/87-rzezby-i-pomniki/660-mistrz-twardowski;https://visitbydgoszcz.pl//images/com_adsmanager/ads//media/photos/66/xl.jpg;53.122;18.0013
3;"Wioślarz ""Na mecie""";Bydgoszcz;https://visitbydgoszcz.pl/pl/miejsca/87-rzezby-i-pomniki/1275-wioslarz-na-mecie;https://visitbydgoszcz.pl//images/com_adsmanager/ads//media/photos/38629/xl.jpg;53.124;17.999
4;Oko;Bydgoszcz;https://visitbydgoszcz.pl/pl/miejsca/87-rzezby-i-pomniki/1274-oko;https://visitbydgoszcz.pl//images/com_adsmanager/ads//media/photos/38630/xl.jpg;53.1225;18.0025
5;Wikliniarka;Bydgoszcz;https://visitbydgoszcz.pl/pl/miejsca/87-rzezby-i-pomniki/1273-wikliniarka;https://visitbydgoszcz.pl//images/com_adsmanager/ads//media/photos/38628/xl.jpg;53.12254;18.00092
6;Zegar z czasem bydgoskim;ul. Stary Rynek 1, Bydgoszcz;https://visitbydgoszcz.pl/pl/miejsca/87-rzezby-i-pomniki/1030-zegar-z-czasem-bydgoskim;https://visitbydgoszcz.pl//images/com_adsmanager/ads//media/photos/19545/xl.jpg;53.1217;18.0004
7;Przechodzący przez Rzekę;Mostowa, Bydgoszcz;https://visitbydgoszcz.pl/pl/miejsca/87-rzezby-i-pomniki/603-przechodzacy-przez-rzeke;https://visitbydgoszcz.pl//images/com_adsmanager/ads//media/photos/15780/xl.jpg;53.1233;18.0016
8;Fontanna Potop;Park im. Kazimierza Wielkiego, Bydgoszcz;https://visitbydgoszcz.pl/pl/miejsca/87-rzezby-i-pomniki/658-fontanna-potop;https://visitbydgoszcz.pl//images/com_adsmanager/ads//media/photos/1012/xl.jpg;53.1261;18.0056
9;Pomnik Kopernika;skwer przy ul. Kopernika, Bydgoszcz;https://visitbydgoszcz.pl/pl/miejsca/87-rzezby-i-pomniki/608-pomnik-kopernika;https://visitbydgoszcz.pl//images/com_adsmanager/ads//media/photos/15791/xl.jpg;53.1287;18.0129
10;Ławeczka Mariana Rejewskiego;plac u zbiegu ulic: Gdańskiej i Śniadeckich, Bydgoszcz;https://visitbydgoszcz.pl/pl/miejsca/87-rzezby-i-pomniki/607-laweczka-mariana-rejewskiego;https://visitbydgoszcz.pl//images/com_adsmanager/ads//media/photos/119/xl.jpg;53.128214;18.005708
11;Pomnik św. Jana Nepomucena;Farna 8, Bydgoszcz;https://visitbydgoszcz.pl/pl/miejsca/87-rzezby-i-pomniki/411-pomnik-sw-jana-nepomucena;https://visitbydgoszcz.pl//images/com_adsmanager/ads//media/photos/15800/xl.jpg;53.123056;17.999167
12;Rzeźba Flisaka;ul. Mostowa, Bydgoszcz;https://visitbydgoszcz.pl/pl/miejsca/87-rzezby-i-pomniki/949-rzezba-flisaka;https://visitbydgoszcz.pl//images/com_adsmanager/ads//media/photos/15793/xl.jpg;53.1218;18.0062
13;Pomnik Szwalbego;ul. Andrzeja Szwalbego, Bydgoszcz;https://visitbydgoszcz.pl/pl/miejsca/87-rzezby-i-pomniki/593-pomnik-szwalbego;https://visitbydgoszcz.pl//images/com_adsmanager/ads//media/photos/15802/xl.jpg;53.1213;18.0069
14;Pomnik Leona Barciszewskiego;Wełniany Rynek, Bydgoszcz;https://visitbydgoszcz.pl/pl/miejsca/87-rzezby-i-pomniki/230-pomnik-leona-barciszewskiego;https://visitbydgoszcz.pl//images/com_adsmanager/ads//media/photos/15803/xl.jpg;53.1211;17.9953
15;Pomnik Marii Konopnickiej;Marii Konopnickiej 26, Bydgoszcz;https://visitbydgoszcz.pl/pl/miejsca/87-rzezby-i-pomniki/224-pomnik-marii-konopnickiej;https://visitbydgoszcz.pl//images/com_adsmanager/ads//media/photos/473/xl.jpg;53.113;18.0
16;Tańczące Fontanny;skwer Krzysztofa Komedy, Bydgoszcz;https://visitbydgoszcz.pl/pl/miejsca/87-rzezby-i-pomniki/229-tanczace-fontanny;https://visitbydgoszcz.pl//images/com_adsmanager/ads//media/photos/505/xl.jpg;53.1225;18.009
17;Cztery Pory Roku;aleja Powstańców Wielkopolskich, Bydgoszcz;https://visitbydgoszcz.pl/pl/miejsca/87-rzezby-i-pomniki/227-cztery-pory-roku;https://visitbydgoszcz.pl//images/com_adsmanager/ads//media/photos/1213/xl.jpg;53.1297;18.0199
18;Wielkie Krzesła na Wyspie Młyńskiej;Mennica 7, Bydgoszcz;https://visitbydgoszcz.pl/pl/miejsca/87-rzezby-i-pomniki/226-wielkie-krzesla-na-wyspie-mlyn;https://visitbydgoszcz.pl//images/com_adsmanager/ads//media/photos/1459/xl.jpg;53.1232;18.005
19;Kazimierz Wielki;plac u zbiegu ulic: Trybunalskiej i Wały Jagiellońskie, Bydgoszcz;https://visitbydgoszcz.pl/pl/miejsca/87-rzezby-i-pomniki/606-kazimierz-wielki;https://visitbydgoszcz.pl//images/com_adsmanager/ads//media/photos/417/xl.jpg;53.12028;17.99861
20;Brama z luster;Mazowiecka 5, Bydgoszcz;https://visitbydgoszcz.pl/pl/miejsca/87-rzezby-i-pomniki/588-brama-z-luster;https://visitbydgoszcz.pl//images/com_adsmanager/ads//media/photos/441/xl.jpg;53.1219;18.006
21;Bydgoskie Autografy;ul. Długa, Bydgoszcz;https://visitbydgoszcz.pl/pl/miejsca/87-rzezby-i-pomniki/590-bydgoskie-autografy;https://visitbydgoszcz.pl//images/com_adsmanager/ads//media/photos/134/xl.jpg;53.122;18.0065
22;Pomnik Wioseł;Biwakowa 162, Bydgoszcz;https://visitbydgoszcz.pl/pl/miejsca/87-rzezby-i-pomniki/604-pomnik-wiosel;https://visitbydgoszcz.pl//images/com_adsmanager/ads//media/photos/123/xl.jpg;53.056;17.926
23;Łuczniczka Nova;plac przed Operą Nova, Bydgoszcz;https://visitbydgoszcz.pl/pl/miejsca/87-rzezby-i-pomniki/592-luczniczka-nova;https://visitbydgoszcz.pl//images/com_adsmanager/ads//media/photos/132/xl.jpg;53.1219;18.009
24;18. Południk;Wyspa Młyńska, Bydgoszcz;https://visitbydgoszcz.pl/pl/miejsca/87-rzezby-i-pomniki/605-18-poludnik;https://visitbydgoszcz.pl//images/com_adsmanager/ads//media/photos/122/xl.jpg;53.1649;17.99995
