name;question;ansA;ansB;ansC;correct
Rzeźba Łuczniczki;Co trzyma w dłoni słynna bydgoska Łuczniczka?;Łuk;Smartfona na selfie sticku;Bagietkę z czosnkiem;A
Rzeźba Łuczniczki;W co ubrana jest postać Łuczniczki?;W dres sportowy;Jest całkowicie naga;W strój kąpielowy retro;B
Mistrz Twardowski;O której godzinie Mistrz Twardowski pojawia się w oknie kamienicy?;O północy;O 13:13 i 21:13;Tylko w dni parzyste;B
Mistrz Twardowski;Gdzie dokładnie szukać Mistrza Twardowskiego?;W oknie kamienicy na Starym Rynku;W piwnicy Ratusza;Na dachu opery;A
Wioślarz "Na mecie";Co robi wioślarz przedstawiony na rzeźbie?;Wiosłuje z całych sił;Łowi ryby na wędkę;Odpoczywa zmęczony po wyścigu;C
Wioślarz "Na mecie";Gdzie znajduje się ta rzeźba?;Na środku ronda;W lesie;Przy nabrzeżu rzeki Brdy;C
Oko;Jaki kształt ma ta nowoczesna rzeźba?;Oka na długiej szypułce;Wielkiego ucha;Sześciennej kostki;A
Oko;Jaki styl reprezentuje ta instalacja?;Gotyk ceglany;Renesans lubelski;Sztukę nowoczesną;C
Wikliniarka;Z jakiego materiału (teoretycznie) wyplata kosze postać na rzeźbie?;Z makaronu;Z drutu kolczastego;Z wikliny;C
Wikliniarka;Gdzie usytuowana jest rzeźba Wikliniarki?;Nad brzegiem Brdy;Na dachu wieżowca;W podziemiach dworca;A
Zegar z czasem bydgoskim;Czym różni się ten zegar od zwykłych zegarków?;Pokazuje "czas bydgoski" (lokalny);Chodzi do tyłu;Wskazuje temperaturę wody w Brdzie;A
Zegar z czasem bydgoskim;Ile tarcz posiada ten zegar?;Zero, jest cyfrowy;Pięć;Cztery;C
Przechodzący przez Rzekę;Co jest niezwykłego w tej rzeźbie?;Wisi na jednej linie nad rzeką;Jest zrobiona z czekolady;Śpiewa co godzinę;A
Przechodzący przez Rzekę;Co trzyma w dłoni Przechodzący?;Strzałę;Wiosło;Parasolkę;A
